hour,tide_variation,current_dir,wind_dir,current_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.666666667,0.423019432,0.12974537,0.654722222,0.104608468,0,1,1,0.047407407,0.319224403,0.02280409,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.007409602
0.708333333,0.270553064,0.545486111,0.6675,0.103859123,0,1,7,0.184444444,0.319224403,0.095880436,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.028827984
0.75,0.218983558,0.577453704,0.984444444,0.276133383,0,1,2,0.204444444,0.319224403,0.107543455,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.031953909
0.791666667,0.2877429,0.562986111,0.771666667,0.367103784,0,1,2,0.204444444,0.319224403,0.107543455,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.031953909
0.833333333,0.065769806,0.57212963,0.6775,0.45477707,1,1,2,0.204444444,0.319224403,0.107543455,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.031953909
0.875,0.069506726,0.53400463,0.803888889,0.419258149,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.916666667,0.268310912,0.511365741,0.690555556,0.304233795,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.958333333,0.303437967,0.341157408,0.075833333,0.168077932,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
1,0.47309417,0.131990741,0.564166667,0.304233795,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.041666667,0.201793722,0.073935185,0,0.502884975,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.083333333,0.091180867,0.053032407,0.5775,0.540352192,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.125,0.099402093,0.046180556,0.559444444,0.458448857,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.166666667,0.265321375,0.428194444,0.5725,0.297414762,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.208333333,0.587443946,0.908564815,0.321666667,0.104083927,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.25,0.399103139,0.738310185,0.37,0.106107156,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.291666667,0.235426009,0.624259259,0.3575,0.214387411,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.333333333,0.088938714,0.585208333,0.468888889,0.414687149,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.375,0.043348281,0.547268519,0.590277778,0.467890596,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.416666667,0.263079223,0.539467593,0.576388889,0.396253278,0,1,6,0.107407407,0.319224403,0.053411443,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.01678738
0.458333333,0.412556054,0.495601852,0.033888889,0.282128138,0,1,5,0.103703704,0.319224403,0.05146232,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.016208505
0.5,0.236173393,0.275454545,0.007222222,0.148458735,0,1,4,0.117037037,0.319224403,0.058517427,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.018292455
0.541666667,0.27877429,0.114791667,0.628333333,0.292993631,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.583333333,0.086696562,0.06962963,0.605555556,0.402173098,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.625,0.277279522,0.042430556,0.736944444,0.365605095,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.666666667,0.23019432,0.497800926,0.0325,0.250131135,0,1,5,0.103703704,0.319224403,0.05146232,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.016208505
0.708333333,0.605381166,0.884191919,0.939166667,0.110364794,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.75,0.411061286,0.716666667,0.8225,0.124840764,0,1,2,0.204444444,0.319224403,0.107543455,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.031953909
0.791666667,0.437219731,0.610046296,0.567777778,0.209441738,0,1,7,0.184444444,0.319224403,0.095880436,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.028827984
0.833333333,0.159192825,0.566712963,0.580833333,0.405020607,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.875,0.193572496,0.537453704,0.646666667,0.43297115,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.916666667,0.205530643,0.529467593,0.968611111,0.430123642,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.958333333,0.26083707,0.46599537,0.951111111,0.24885725,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
1,0.307174888,0.226805556,0.026111111,0.205695017,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.041666667,0.37593423,0.1075,0.021111111,0.434844511,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.083333333,0.358744395,0.065347222,0.073333333,0.544248782,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.125,0.262331839,0.049050926,0.03,0.515698763,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.166666667,0.159940209,0.023888889,0.106944444,0.383814163,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.208333333,0.324364723,0.88,0.160555556,0.235294118,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.25,0.508221226,0.786018519,0.944722222,0.103784189,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.291666667,0.205530643,0.660648148,0,0.22840015,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.333333333,0.471599402,0.598032408,0.006111111,0.384188835,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.375,0.153961136,0.565601852,0,0.508505058,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.416666667,0.076233184,0.544212963,0.682777778,0.450880479,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.458333333,0.294469357,0.527824074,0.760277778,0.387560884,0,1,2,0.204444444,0.319224403,0.107543455,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.031953909
0.5,0.499252616,0.469467593,0.833055556,0.222705133,0,1,2,0.204444444,0.319224403,0.107543455,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.031953909
0.541666667,0.220478326,0.206712963,0.965277778,0.174222555,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.583333333,0.138266069,0.12,0.840277778,0.350992881,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.625,0.108370703,0.083078704,0.907777778,0.353540652,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.666666667,0.168161435,0.060656566,0.782222222,0.257754011,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.708333333,0.218983558,0.034074074,0.641111111,0.145447733,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.75,0.317638266,0.733657408,0.627777778,0.121693518,0,1,7,0.184444444,0.319224403,0.095880436,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.028827984
0.791666667,0.286248132,0.578796296,0.643611111,0.344023979,1,1,2,0.204444444,0.319224403,0.107543455,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.031953909
0.833333333,0.180119581,0.56030303,0,0.48934228,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.875,0.414798206,0.55989899,0.084166667,0.484273987,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.916666667,0.144245142,0.543217593,0,0.462270513,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.958333333,0.198804185,0.521893939,0.1625,0.352825369,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
1,0.816143498,0.374143519,0.456944444,0.203746722,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.041666667,0.334828102,0.140984848,0.534166667,0.305494056,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.083333333,0.22122571,0.0725,0.150833333,0.484600974,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.125,0.121076233,0.05474537,0.271666667,0.579093293,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.166666667,0.103886398,0.033472222,0.142222222,0.466766579,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.208333333,0.26980568,0.014675926,0.085555556,0.32476583,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.25,0.561285501,0.889143519,0.161666667,0.159685275,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.291666667,0.464125561,0.716782408,0.121944444,0.085575122,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.333333333,0.715994021,0.615740741,0.093888889,0.275833645,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.375,0.137518685,0.583680556,0.5025,0.470738104,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.416666667,0.121823617,0.539189815,0.968055556,0.486774073,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.458333333,0.369207773,0.558333333,0.945555556,0.468415137,0,1,2,0.204444444,0.319224403,0.107543455,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.031953909
0.5,0.270553064,0.518981481,0.713888889,0.360134882,0,1,2,0.204444444,0.319224403,0.107543455,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.031953909
0.541666667,0.357249626,0.350069444,0.714444444,0.183664294,0,1,7,0.184444444,0.319224403,0.095880436,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.028827984
0.583333333,0.404334828,0.147407407,0.831666667,0.286774073,0,1,1,0.047407407,0.319224403,0.02280409,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.007409602
0.625,0.48206278,0.091515152,0.794166667,0.367866753,0,1,1,0.047407407,0.319224403,0.02280409,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.007409602
0.666666667,0.171898356,0.080231481,0.846944444,0.366729112,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.708333333,0.223467862,0.07337963,0.993333333,0.229449232,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.75,0.33632287,0.303287037,0.001944444,0.073735481,0,1,4,0.117037037,0.319224403,0.058517427,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.018292455
0.791666667,0.200298954,0.602222222,0.148333333,0.196777819,0,1,5,0.103703704,0.319224403,0.05146232,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.016208505
0.833333333,0.661434978,0.56537037,0.042222222,0.426152117,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.875,0.19058296,0.567878788,0.116111111,0.555148336,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.916666667,0.198056801,0.542986111,0.162222222,0.493068565,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.958333333,0.059043348,0.539328704,0.0725,0.475009367,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
1,0.333333333,0.485763889,0,0.294492319,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.041666667,0.228699552,0.279015151,0.201944444,0.165707279,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.083333333,0.615844544,0.106041667,0.258333333,0.389059573,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.125,0.332585949,0.061944444,0.486666667,0.524990633,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.166666667,0.091180867,0.049652778,0.055277778,0.547845635,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.208333333,0.248878924,0.025856481,0.211666667,0.40591982,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.25,0.178624813,0.176388889,0.13,0.276957662,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.291666667,0.282511211,0.920532408,0.389166667,0.101985762,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.333333333,0.417040359,0.682430556,0.482222222,0.131884601,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.375,0.387144993,0.602199074,0.472777778,0.30093668,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.416666667,0.114349776,0.571365741,0.510555556,0.508055451,0,1,6,0.107407407,0.319224403,0.053411443,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.01678738
0.458333333,0.092675635,0.546689815,0.566111111,0.515324091,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.5,0.185351271,0.545717593,0.619722222,0.434095167,0,1,6,0.107407407,0.319224403,0.053411443,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.01678738
0.541666667,0.402092676,0.503680556,0.656388889,0.258149119,0,1,7,0.184444444,0.319224403,0.095880436,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.028827984
0.583333333,0.644245142,0.247916667,0.594166667,0.168227801,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.625,0.322869955,0.113863636,0.618333333,0.371954085,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.666666667,0.183856502,0.079421296,0.585833333,0.438441364,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.708333333,0.225710015,0.093694444,0.660833333,0.388115399,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.75,0.156203288,0.090069444,0.939444444,0.195578868,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.791666667,0.38490284,0.452199074,0.012222222,0.043162233,0,1,5,0.103703704,0.319224403,0.05146232,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.016208505
0.833333333,0.408071749,0.592569444,0.081944444,0.241888348,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.875,0.644992526,0.574837963,0.015277778,0.459123267,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.916666667,0.508221226,0.560833333,0.001666667,0.489171974,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.958333333,0.19058296,0.543449074,0.997222222,0.465118022,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
1,0.202541106,0.528194444,0.0775,0.399250656,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.041666667,0.622571001,0.405162037,0,0.237242413,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.083333333,0.60612855,0.184421296,0.105277778,0.254027726,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.125,0.388639761,0.090277778,0.144166667,0.480104908,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.166666667,0.493273543,0.060740741,0.218888889,0.568677407,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.208333333,0.254110613,0.048310185,0.071666667,0.524466092,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.25,0.265321375,0.09974537,0.197222222,0.357437242,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.291666667,0.304185351,0.659837963,0.134166667,0.213263394,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.333333333,0.441704036,0.802070707,0.064722222,0.101944889,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.375,0.506726457,0.626237374,0.063611111,0.281378793,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.416666667,0.237668161,0.592676768,0.074722222,0.485990667,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.458333333,0.216741405,0.553634259,0.061111111,0.540127388,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.5,0.338565022,0.551388889,0.046111111,0.512701386,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.541666667,0.502242152,0.531597222,0.024166667,0.428475084,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.583333333,0.396113602,0.414166667,0.065555556,0.235743724,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.625,0.376681614,0.175833333,0.997777778,0.261146497,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.666666667,0.517189836,0.088773148,0.001388889,0.345822405,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.708333333,0.215994021,0.1,0.861111111,0.298463844,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.75,0.208520179,0.105509259,0.843888889,0.210415886,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.791666667,0.369207773,0.095046296,0.928055556,0.063094792,0,1,1,0.047407407,0.319224403,0.02280409,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.007409602
0.833333333,0.509715994,0.650555556,0.906944444,0.095977383,0,1,2,0.204444444,0.319224403,0.107543455,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.031953909
0.875,0.373692078,0.57525463,0.979444444,0.371824653,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.916666667,0.206278027,0.580856481,0.978611111,0.517796928,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.958333333,0.297458894,0.540763889,0.959722222,0.530760584,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
1,0.104633782,0.544490741,0.996111111,0.489696515,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.041666667,0.713751868,0.505625,0.006944444,0.352416635,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.083333333,0.564275037,0.355046296,0.9475,0.153915324,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.125,0.489536622,0.139606481,0.001666667,0.313825403,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.166666667,0.389387145,0.080231481,0.693888889,0.474934432,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.208333333,0.311659193,0.064375,0,0.512851255,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.25,0.326606876,0.039930556,0.9525,0.417684526,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.291666667,0.177130045,0.01625,0.0575,0.297564631,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.333333333,1,0.891944444,0.986666667,0.133083552,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.375,0.338565022,0.692523148,0.719166667,0.084750843,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.416666667,0.257100149,0.614791667,0.686944444,0.322892469,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.458333333,0.401345291,0.579699074,0.797222222,0.496065942,0,1,2,0.204444444,0.319224403,0.107543455,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.031953909
0.5,0.171150972,0.545833333,0.734444444,0.449756463,0,1,2,0.204444444,0.319224403,0.107543455,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.031953909
0.541666667,0.19058296,0.550023148,0.698888889,0.487148745,0,1,2,0.204444444,0.319224403,0.107543455,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.031953909
0.583333333,0.130792227,0.504074074,0.696388889,0.376920195,0,1,2,0.204444444,0.319224403,0.107543455,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.031953909
0.625,0.444693572,0.341994949,0.662222222,0.188187609,0,1,7,0.184444444,0.319224403,0.095880436,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.028827984
0.666666667,0.501494768,0.171527778,0.679444444,0.295841139,0,1,1,0.047407407,0.319224403,0.02280409,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.007409602
0.708333333,0.331091181,0.116597222,0.701388889,0.406144623,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.75,0.200298954,0.101296296,0.734722222,0.351892094,0,1,3,0.235555556,0.319224403,0.126248813,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.036816461
0.791666667,0.475336323,0.092685185,0.8075,0.177219933,0,1,1,0.047407407,0.319224403,0.02280409,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.007409602
0.833333333,0.242152466,0.570252525,0.810833333,0.047910351,0,1,2,0.204444444,0.319224403,0.107543455,0.985981308,0.050602979,0.949397021,0.283686177,0.156296296,0.031953909
0.875,0.664424514,0.633425926,0.776388889,0.156463095,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.916666667,0.550822123,0.580856481,0.821388889,0.33136006,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.958333333,0.397608371,0.580578704,0.840277778,0.497115024,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
1,0.277279522,0.547476852,0.893055556,0.416410641,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.041666667,0.141255605,0.540347222,0.932222222,0.44615961,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.083333333,0.226457399,0.501203704,0.921944444,0.283776695,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.125,0.250373692,0.287152778,0.982777778,0.159010865,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
0.166666667,0.439461883,0.123356481,0.9625,0.349269389,0,0,0,0,0,0,0,0,0.949397021,0.283686177,0,0
