hour,dif_tide_height,water_temp,current_speed,wind_speed,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.25,0.089361702,0.217166323,0.106107156,0.103773585,0.511282395,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.291666667,0.055319149,0.225563494,0.214387411,0.113207547,0.625335121,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.333333333,0.034042553,0.228767678,0.414687149,0.122641509,0.697944593,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.375,0.025531915,0.225397761,0.467890596,0.08490566,0.69919571,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.416666667,0.059574468,0.203907631,0.396253278,0.254716981,0.625335121,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.458333333,0.072340426,0.198714644,0.282128138,0.066037736,0.508378016,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.5,0.10212766,0.202978518,0.148458735,0.103773585,0.355339589,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.541666667,0.059574468,0.21567472,0.292993631,0.20754717,0.219615728,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.583333333,0.029787234,0.220591485,0.402173098,0.150943396,0.146671135,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.625,0.05106383,0.222801267,0.365605095,0.141509434,0.119079535,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.666666667,0.110638298,0.222746022,0.250131135,0.094339623,0.194258266,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.708333333,0.106382979,0.285242674,0.110364794,0.122641509,0.34707328,0,1,5,0.178403756,0.201466068,0.051938635,0.985981308,0.050602979,0.949397021,0.159651308,0.247652581,0.044182151
0.75,0.127659574,0.29412198,0.124840764,0.056603774,0.4967605,0,1,5,0.178403756,0.201466068,0.051938635,0.985981308,0.050602979,0.949397021,0.159651308,0.247652581,0.044182151
0.791666667,0.114893617,0.282078668,0.209441738,0.169811321,0.671581769,0,1,5,0.178403756,0.201466068,0.051938635,0.985981308,0.050602979,0.949397021,0.159651308,0.247652581,0.044182151
0.833333333,0.055319149,0.268654243,0.405020607,0.264150943,0.804736372,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.875,0.05106383,0.231253683,0.43297115,0.311320755,0.851876676,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.916666667,0.093617021,0.206062168,0.430123642,0.226415094,0.819034853,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.958333333,0.080851064,0.209376841,0.24885725,0.320754717,0.692582663,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
1,0.127659574,0.206614614,0.205695017,0.29245283,0.517426273,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.041666667,0.093617021,0.220978197,0.434844511,0.254716981,0.334823979,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.083333333,0.093617021,0.224955804,0.544248782,0.132075472,0.188896336,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.125,0.05106383,0.233352976,0.515698763,0.188679245,0.129579982,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.166666667,0.085106383,0.211089423,0.383814163,0.198113208,0.17727882,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.208333333,0.09787234,0.210592222,0.235294118,0.132075472,0.289209115,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.25,0.093617021,0.212083825,0.103784189,0.066037736,0.426831993,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.291666667,0.09787234,0.220260018,0.22840015,0.028301887,0.594280608,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.333333333,0.05106383,0.227828521,0.384188835,0.150943396,0.70487042,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.375,0.029787234,0.231750884,0.508505058,0.037735849,0.751005362,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.416666667,0.042553191,0.219652327,0.450880479,0.150943396,0.723748883,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.458333333,0.076595745,0.217608279,0.387560884,0.160377358,0.626117069,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.5,0.106382979,0.226944608,0.222705133,0.188679245,0.481791778,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.541666667,0.093617021,0.220978197,0.174222555,0.150943396,0.321939231,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.583333333,0.076595745,0.255616529,0.350992881,0.20754717,0.2012958,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.625,0.038297872,0.264345168,0.353540652,0.08490566,0.135835567,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.666666667,0.059574468,0.27276745,0.257754011,0.103773585,0.156389634,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.708333333,0.076595745,0.269759134,0.145447733,0.245283019,0.263851653,0,1,6,0.123239437,0.201466068,0.034248581,0.985981308,0.050602979,0.949397021,0.159651308,0.247652581,0.030520565
0.75,0.072340426,0.291138775,0.121693518,0.198113208,0.409070599,0,1,5,0.178403756,0.201466068,0.051938635,0.985981308,0.050602979,0.949397021,0.159651308,0.247652581,0.044182151
0.791666667,0.089361702,0.29655274,0.344023979,0.056603774,0.557193923,1,1,5,0.178403756,0.201466068,0.051938635,0.985981308,0.050602979,0.949397021,0.159651308,0.247652581,0.044182151
0.833333333,0.085106383,0.262642631,0.48934228,0.037735849,0.721626452,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.875,0.063829787,0.252035678,0.484273987,0.08490566,0.809874888,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.916666667,0.046808511,0.221088686,0.462270513,0.009433962,0.822386059,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.958333333,0.063829787,0.216357743,0.352825369,0.150943396,0.765303842,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
1,0.136170213,0.217718769,0.203746722,0.150943396,0.621648794,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.041666667,0.144680851,0.214911341,0.305494056,0.132075472,0.43230563,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.083333333,0.09787234,0.214569829,0.484600974,0.160377358,0.25681412,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.125,0.05106383,0.2168901,0.579093293,0.160377358,0.138181412,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.166666667,0.046808511,0.217442546,0.466766579,0.216981132,0.120420018,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.208333333,0.063829787,0.228988657,0.32476583,0.216981132,0.191465594,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.25,0.114893617,0.235120802,0.159685275,0.179245283,0.334226988,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.291666667,0.106382979,0.238490719,0.085575122,0.264150943,0.493297587,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.333333333,0.106382979,0.235176046,0.275833645,0.169811321,0.627457552,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.375,0.042553191,0.236501915,0.470738104,0.066037736,0.713248436,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.416666667,0.025531915,0.237662051,0.486774073,0.141509434,0.739499553,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.458333333,0.063829787,0.21020551,0.468415137,0.226415094,0.695375335,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.5,0.110638298,0.215564231,0.360134882,0.122641509,0.556411975,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.541666667,0.127659574,0.216669122,0.183664294,0.226415094,0.399575514,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.583333333,0.123404255,0.210702711,0.286774073,0.216981132,0.273905273,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.625,0.106382979,0.285965875,0.367866753,0.235849057,0.174262735,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.666666667,0.05106383,0.273571008,0.366729112,0.377358491,0.142873101,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.708333333,0.059574468,0.259815115,0.229449232,0.320754717,0.213136729,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.75,0.085106383,0.279979375,0.073735481,0.339622642,0.326519214,0,1,6,0.123239437,0.201466068,0.034248581,0.985981308,0.050602979,0.949397021,0.159651308,0.247652581,0.030520565
0.791666667,0.076595745,0.273791986,0.196777819,0.141509434,0.47419571,0,1,5,0.178403756,0.201466068,0.051938635,0.985981308,0.050602979,0.949397021,0.159651308,0.247652581,0.044182151
0.833333333,0.131914894,0.272134649,0.426152117,0.188679245,0.646112601,0,1,5,0.178403756,0.201466068,0.051938635,0.985981308,0.050602979,0.949397021,0.159651308,0.247652581,0.044182151
0.875,0.059574468,0.250107141,0.555148336,0.179245283,0.754244861,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.916666667,0.038297872,0.234236888,0.493068565,0.150943396,0.824620196,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.958333333,0.046808511,0.214404096,0.475009367,0.113207547,0.817247542,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
1,0.10212766,0.217663524,0.294492319,0,0.715482574,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.041666667,0.093617021,0.220275084,0.165707279,0.08490566,0.539851888,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.083333333,0.110638298,0.212581026,0.389059573,0.08490566,0.350201072,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.125,0.076595745,0.206448881,0.524990633,0.169811321,0.205093834,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.166666667,0.034042553,0.214901297,0.547845635,0.113207547,0.117180518,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.208333333,0.059574468,0.223298468,0.40591982,0.122641509,0.13538874,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.25,0.063829787,0.235618003,0.276957662,0.188679245,0.240393208,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.291666667,0.10212766,0.243904685,0.101985762,0.103773585,0.370308311,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.333333333,0.110638298,0.246114467,0.131884601,0.245283019,0.508824844,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.375,0.076595745,0.240534767,0.30093668,0.273584906,0.615393208,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.416666667,0.05106383,0.239264143,0.508055451,0.273584906,0.711349419,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.458333333,0.042553191,0.22915439,0.515324091,0.424528302,0.69626899,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.5,0.085106383,0.212304803,0.434095167,0.405660377,0.630808758,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.541666667,0.093617021,0.225066294,0.258149119,0.188679245,0.51217605,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.583333333,0.106382979,0.218492192,0.168227801,0.622641509,0.332551385,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.625,0.09787234,0.244080463,0.371954085,0.481132075,0.19626899,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.666666667,0.042553191,0.284122716,0.438441364,0.264150943,0.122319035,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.708333333,0.055319149,0.296994697,0.388115399,0.160377358,0.120084897,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.75,0.09787234,0.268930466,0.195578868,0.264150943,0.206949887,0,1,6,0.123239437,0.201466068,0.034248581,0.985981308,0.050602979,0.949397021,0.159651308,0.247652581,0.030520565
0.791666667,0.119148936,0.257550088,0.043162233,0.273584906,0.359300887,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.833333333,0.131914894,0.269814378,0.241888348,0.198113208,0.525357462,0,1,5,0.178403756,0.201466068,0.051938635,0.985981308,0.050602979,0.949397021,0.159651308,0.247652581,0.044182151
0.875,0.106382979,0.277493371,0.459123267,0.29245283,0.663762288,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.916666667,0.085106383,0.262024897,0.489171974,0.20754717,0.763516533,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.958333333,0.068085106,0.243186505,0.465118022,0.056603774,0.805406613,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
1,0.085106383,0.225287272,0.399250656,0.08490566,0.760500447,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.041666667,0.10212766,0.225673984,0.237242413,0.037735849,0.647090493,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.083333333,0.131914894,0.223906158,0.254027726,0.122641509,0.469168901,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.125,0.093617021,0.222138332,0.480104908,0.264150943,0.278485255,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.166666667,0.072340426,0.230590748,0.568677407,0.08490566,0.160746202,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.208333333,0.072340426,0.228215233,0.524466092,0.113207547,0.115840036,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.25,0.080851064,0.231861373,0.357437242,0.179245283,0.174709562,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.291666667,0.093617021,0.242799794,0.213263394,0.198113208,0.2987042,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.333333333,0.093617021,0.248841538,0.101944889,0.301886792,0.46849866,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.375,0.127659574,0.245466599,0.281378793,0.301886792,0.610254692,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.416666667,0.106382979,0.242935394,0.485990667,0.330188679,0.718386952,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.458333333,0.153191489,0.247164113,0.540127388,0.330188679,0.761058981,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.5,0.204255319,0.221641131,0.512701386,0.556603774,0.749776586,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.541666667,0.174468085,0.210039776,0.428475084,0.735849057,0.631478999,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.583333333,0.131914894,0.222083088,0.235743724,0.377358491,0.480004468,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.625,0.114893617,0.221088686,0.261146497,0.41509434,0.317359249,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.666666667,0.089361702,0.226281673,0.345822405,0.41509434,0.20163092,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.708333333,0.089361702,0.24414073,0.298463844,0.518867925,0.178284182,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.75,0.076595745,0.246777401,0.210415886,0.566037736,0.192135836,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.791666667,0.093617021,0.235286535,0.063094792,0.433962264,0.30730563,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.833333333,0.089361702,0.237451117,0.095977383,0.245283019,0.4480563,0,1,5,0.178403756,0.201466068,0.051938635,0.985981308,0.050602979,0.949397021,0.159651308,0.247652581,0.044182151
0.875,0.110638298,0.232690041,0.371824653,0.245283019,0.600871314,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.916666667,0.068085106,0.234402622,0.517796928,0.169811321,0.702971403,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.958333333,0.072340426,0.240148055,0.530760584,0.433962264,0.799932976,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
1,0.05106383,0.216503388,0.489696515,0.29245283,0.802837355,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.041666667,0.119148936,0.21943135,0.352416635,0.396226415,0.734331737,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.083333333,0.123404255,0.222469799,0.153915324,0.094339623,0.580875782,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.125,0.119148936,0.216227166,0.313825403,0.094339623,0.423145666,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.166666667,0.09787234,0.205675457,0.474934432,0.132075472,0.260947274,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.208333333,0.080851064,0.210315999,0.512851255,0.028301887,0.163985702,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.25,0.093617021,0.214901297,0.417684526,0.358490566,0.157059875,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.291666667,0.068085106,0.226392163,0.297564631,0.216981132,0.219615728,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.333333333,0.165957447,0.235838981,0.133083552,0.132075472,0.332774799,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.375,0.114893617,0.23655716,0.084750843,0.311320755,0.476094727,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.416666667,0.085106383,0.231861373,0.322892469,0.29245283,0.585455764,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.458333333,0.09787234,0.243020772,0.496065942,0.283018868,0.673274413,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.5,0.080851064,0.252301856,0.449756463,0.386792453,0.731233244,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.541666667,0.093617021,0.227718032,0.487148745,0.481132075,0.676720286,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.583333333,0.068085106,0.227994255,0.376920195,0.471698113,0.58489723,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.625,0.10212766,0.230882038,0.188187609,0.490566038,0.445487042,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.666666667,0.10212766,0.249152917,0.295841139,0.5,0.313896336,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.708333333,0.131914894,0.273571008,0.406144623,0.41509434,0.210902592,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.75,0.063829787,0.275725545,0.351892094,0.41509434,0.196492404,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.791666667,0.106382979,0.258378757,0.177219933,0.396226415,0.238047364,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.833333333,0.123404255,0.261256495,0.047910351,0.311320755,0.350201072,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.875,0.114893617,0.263185032,0.156463095,0.226415094,0.483914209,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.916666667,0.106382979,0.261803919,0.33136006,0.235849057,0.609472743,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.958333333,0.068085106,0.257550088,0.497115024,0.330188679,0.713695263,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
1,0.089361702,0.257052888,0.416410641,0.235849057,0.751563896,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.041666667,0.05106383,0.228104744,0.44615961,0.226415094,0.737078627,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.083333333,0.059574468,0.216503388,0.283776695,0.150943396,0.674262735,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
0.125,0.10212766,0.219818061,0.159010865,0.141509434,0.537086685,0,0,0,0,0,0,0,0,0.949397021,0.159651308,0,0
