hour,current_dir,wave_height,water_temp,dif_tide_height,tide_variation,drifting,prediction,cluster,p(s|pred),p(drifting),p(~drifting),p(pred|drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.125,0.045833333,0.207624633,0.18871538,0.05106383,0.141255605,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.166666667,0.7375,0.223460411,0.215508986,0.085106383,0.157698057,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.208333333,0.914884259,0.219354839,0.229927814,0.119148936,0.564275037,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.25,0.661412037,0.243401759,0.225342516,0.059574468,0.205530643,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.291666667,0.56337963,0.262756598,0.23230333,0.055319149,0.100149477,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.333333333,0.556365741,0.259824047,0.218547437,0.017021277,0.047832586,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.375,0.525347222,0.129618769,0.205123011,0.063829787,0.161434978,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.416666667,0.515740741,0.249853372,0.188273424,0.093617021,0.444693572,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.458333333,0.362314815,0.263929619,0.185811095,0.068085106,0.36696562,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.5,0.160393519,0.252199413,0.204239098,0.080851064,0.358744395,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.541666667,0.07912037,0.213489736,0.222635533,0.05106383,0.11509716,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.583333333,0.056180556,0.184750733,0.27202416,0.029787234,0.068759342,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.625,0.078935185,0.161290323,0.283515027,0.05106383,0.198804185,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.666666667,0.12974537,0.139589443,0.268930466,0.080851064,0.423019432,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.708333333,0.545486111,0.107331378,0.276443724,0.072340426,0.270553064,0,1,14,0.038229376,0.050602979,0.949397021,0.985981308,0.071232877,0.424547284,0.016230178
0.75,0.577453704,0.099120234,0.287050678,0.093617021,0.218983558,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.791666667,0.562986111,0.096774194,0.283128315,0.059574468,0.2877429,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.833333333,0.57212963,0.078005865,0.261859163,0.021276596,0.065769806,1,1,8,0.08249497,0.050602979,0.949397021,0.985981308,0.071232877,0.424547284,0.035023015
0.875,0.53400463,0.079765396,0.271858426,0.029787234,0.069506726,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.916666667,0.511365741,0.084457478,0.226613141,0.055319149,0.268310912,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.958333333,0.341157408,0.102052786,0.200592958,0.09787234,0.303437967,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
1,0.131990741,0.11143695,0.221585887,0.093617021,0.47309417,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.041666667,0.073935185,0.117888563,0.211641868,0.085106383,0.201793722,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.083333333,0.053032407,0.118475073,0.205343989,0.029787234,0.091180867,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.125,0.046180556,0.123167155,0.213962139,0.034042553,0.099402093,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.166666667,0.428194444,0.130205279,0.198106953,0.076595745,0.265321375,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.208333333,0.908564815,0.137829912,0.202692251,0.106382979,0.587443946,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.25,0.738310185,0.120821115,0.217166323,0.089361702,0.399103139,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.291666667,0.624259259,0.108504399,0.225563494,0.055319149,0.235426009,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.333333333,0.585208333,0.103225807,0.228767678,0.034042553,0.088938714,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.375,0.547268519,0.117302053,0.225397761,0.025531915,0.043348281,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.416666667,0.539467593,0.11085044,0.203907631,0.059574468,0.263079223,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.458333333,0.495601852,0.09032258,0.198714644,0.072340426,0.412556054,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.5,0.275454545,0.090055985,0.202978518,0.10212766,0.236173393,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.541666667,0.114791667,0.083870968,0.21567472,0.059574468,0.27877429,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.583333333,0.06962963,0.078005865,0.220591485,0.029787234,0.086696562,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.625,0.042430556,0.078592376,0.222801267,0.05106383,0.277279522,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.666666667,0.497800926,0.063929619,0.222746022,0.110638298,0.23019432,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.708333333,0.884191919,0.065742469,0.285242674,0.106382979,0.605381166,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.75,0.716666667,0.064516129,0.29412198,0.127659574,0.411061286,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.791666667,0.610046296,0.136070381,0.282078668,0.114893617,0.437219731,0,1,23,0.020120724,0.050602979,0.949397021,0.985981308,0.071232877,0.424547284,0.008542199
0.833333333,0.566712963,0.114956012,0.268654243,0.055319149,0.159192825,0,1,8,0.08249497,0.050602979,0.949397021,0.985981308,0.071232877,0.424547284,0.035023015
0.875,0.537453704,0.115542522,0.231253683,0.05106383,0.193572496,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.916666667,0.529467593,0.112609971,0.206062168,0.093617021,0.205530643,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.958333333,0.46599537,0.11085044,0.209376841,0.080851064,0.26083707,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
1,0.226805556,0.11026393,0.206614614,0.127659574,0.307174888,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.041666667,0.1075,0.08914956,0.220978197,0.093617021,0.37593423,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.083333333,0.065347222,0.06744868,0.224955804,0.093617021,0.358744395,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.125,0.049050926,0.060997068,0.233352976,0.05106383,0.262331839,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.166666667,0.023888889,0.059237537,0.211089423,0.085106383,0.159940209,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.208333333,0.88,0.069794722,0.210592222,0.09787234,0.324364723,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.25,0.786018519,0.108504399,0.212083825,0.093617021,0.508221226,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.291666667,0.660648148,0.112023461,0.220260018,0.09787234,0.205530643,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.333333333,0.598032408,0.123753665,0.227828521,0.05106383,0.471599402,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.375,0.565601852,0.114369501,0.231750884,0.029787234,0.153961136,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.416666667,0.544212963,0.086803519,0.219652327,0.042553191,0.076233184,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.458333333,0.527824074,0.11085044,0.217608279,0.076595745,0.294469357,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.5,0.469467593,0.121407625,0.226944608,0.106382979,0.499252616,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.541666667,0.206712963,0.102052786,0.220978197,0.093617021,0.220478326,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.583333333,0.12,0.11026393,0.255616529,0.076595745,0.138266069,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.625,0.083078704,0.104985338,0.264345168,0.038297872,0.108370703,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.666666667,0.060656566,0.111810184,0.27276745,0.059574468,0.168161435,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.708333333,0.034074074,0.090909091,0.269759134,0.076595745,0.218983558,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.75,0.733657408,0.103225807,0.291138775,0.072340426,0.317638266,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.791666667,0.578796296,0.08973607,0.29655274,0.089361702,0.286248132,1,1,23,0.020120724,0.050602979,0.949397021,0.985981308,0.071232877,0.424547284,0.008542199
0.833333333,0.56030303,0.097733937,0.262642631,0.085106383,0.180119581,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.875,0.55989899,0.082378033,0.252035678,0.063829787,0.414798206,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.916666667,0.543217593,0.091495601,0.221088686,0.046808511,0.144245142,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.958333333,0.521893939,0.096454279,0.216357743,0.063829787,0.198804185,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
1,0.374143519,0.106744868,0.217718769,0.136170213,0.816143498,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.041666667,0.140984848,0.109890696,0.214911341,0.144680851,0.334828102,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.083333333,0.0725,0.104985338,0.214569829,0.09787234,0.22122571,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.125,0.05474537,0.096187684,0.2168901,0.05106383,0.121076233,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.166666667,0.033472222,0.103812317,0.217442546,0.046808511,0.103886398,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.208333333,0.014675926,0.099706745,0.228988657,0.063829787,0.26980568,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.25,0.889143519,0.106744868,0.235120802,0.114893617,0.561285501,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.291666667,0.716782408,0.09032258,0.238490719,0.106382979,0.464125561,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.333333333,0.615740741,0.080938416,0.235176046,0.106382979,0.715994021,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.375,0.583680556,0.075659824,0.236501915,0.042553191,0.137518685,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.416666667,0.539189815,0.069208211,0.237662051,0.025531915,0.121823617,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.458333333,0.558333333,0.070381232,0.21020551,0.063829787,0.369207773,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.5,0.518981481,0.080351906,0.215564231,0.110638298,0.270553064,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.541666667,0.350069444,0.073900293,0.216669122,0.127659574,0.357249626,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.583333333,0.147407407,0.082697947,0.210702711,0.123404255,0.404334828,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.625,0.091515152,0.090695814,0.285965875,0.106382979,0.48206278,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.666666667,0.080231481,0.107331378,0.273571008,0.05106383,0.171898356,0,1,9,0.052313883,0.050602979,0.949397021,0.985981308,0.071232877,0.424547284,0.022209717
0.708333333,0.07337963,0.109677419,0.259815115,0.059574468,0.223467862,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.75,0.303287037,0.098533724,0.279979375,0.085106383,0.33632287,0,1,14,0.038229376,0.050602979,0.949397021,0.985981308,0.071232877,0.424547284,0.016230178
0.791666667,0.602222222,0.083870968,0.273791986,0.076595745,0.200298954,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.833333333,0.56537037,0.064516129,0.272134649,0.131914894,0.661434978,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.875,0.567878788,0.070861104,0.250107141,0.059574468,0.19058296,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.916666667,0.542986111,0.09032258,0.234236888,0.038297872,0.198056801,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.958333333,0.539328704,0.076832845,0.214404096,0.046808511,0.059043348,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
1,0.485763889,0.068035191,0.217663524,0.10212766,0.333333333,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.041666667,0.279015151,0.069581445,0.220275084,0.093617021,0.228699552,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.083333333,0.106041667,0.079178886,0.212581026,0.110638298,0.615844544,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.125,0.061944444,0.079178886,0.206448881,0.076595745,0.332585949,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.166666667,0.049652778,0.074486803,0.214901297,0.034042553,0.091180867,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.208333333,0.025856481,0.075659824,0.223298468,0.059574468,0.248878924,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.25,0.176388889,0.072140762,0.235618003,0.063829787,0.178624813,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.291666667,0.920532408,0.069208211,0.243904685,0.10212766,0.282511211,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.333333333,0.682430556,0.076832845,0.246114467,0.110638298,0.417040359,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.375,0.602199074,0.081524926,0.240534767,0.076595745,0.387144993,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.416666667,0.571365741,0.068621701,0.239264143,0.05106383,0.114349776,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.458333333,0.546689815,0.075659824,0.22915439,0.042553191,0.092675635,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.5,0.545717593,0.065102639,0.212304803,0.085106383,0.185351271,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.541666667,0.503680556,0.076246334,0.225066294,0.093617021,0.402092676,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.583333333,0.247916667,0.108504399,0.218492192,0.106382979,0.644245142,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.625,0.113863636,0.138043189,0.244080463,0.09787234,0.322869955,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.666666667,0.079421296,0.13372434,0.284122716,0.042553191,0.183856502,0,1,9,0.052313883,0.050602979,0.949397021,0.985981308,0.071232877,0.424547284,0.022209717
0.708333333,0.093694444,0.148856305,0.296994697,0.055319149,0.225710015,0,1,9,0.052313883,0.050602979,0.949397021,0.985981308,0.071232877,0.424547284,0.022209717
0.75,0.090069444,0.15483871,0.268930466,0.09787234,0.156203288,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.791666667,0.452199074,0.144868035,0.257550088,0.119148936,0.38490284,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.833333333,0.592569444,0.105571848,0.269814378,0.131914894,0.408071749,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.875,0.574837963,0.098533724,0.277493371,0.106382979,0.644992526,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.916666667,0.560833333,0.107331378,0.262024897,0.085106383,0.508221226,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.958333333,0.543449074,0.096774194,0.243186505,0.068085106,0.19058296,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
1,0.528194444,0.080938416,0.225287272,0.085106383,0.202541106,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.041666667,0.405162037,0.078005865,0.225673984,0.10212766,0.622571001,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.083333333,0.184421296,0.100293255,0.223906158,0.131914894,0.60612855,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.125,0.090277778,0.08914956,0.222138332,0.093617021,0.388639761,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.166666667,0.060740741,0.100293255,0.230590748,0.072340426,0.493273543,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.208333333,0.048310185,0.091495601,0.228215233,0.072340426,0.254110613,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.25,0.09974537,0.08797654,0.231861373,0.080851064,0.265321375,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.291666667,0.659837963,0.09032258,0.242799794,0.093617021,0.304185351,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.333333333,0.802070707,0.118848307,0.248841538,0.093617021,0.441704036,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.375,0.626237374,0.160437216,0.245466599,0.127659574,0.506726457,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.416666667,0.592676768,0.088136497,0.242935394,0.106382979,0.237668161,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.458333333,0.553634259,0.070381232,0.247164113,0.153191489,0.216741405,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.5,0.551388889,0.096774194,0.221641131,0.204255319,0.338565022,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.541666667,0.531597222,0.1542522,0.210039776,0.174468085,0.502242152,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.583333333,0.414166667,0.135483871,0.222083088,0.131914894,0.396113602,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.625,0.175833333,0.107917888,0.221088686,0.114893617,0.376681614,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.666666667,0.088773148,0.123753665,0.226281673,0.089361702,0.517189836,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.708333333,0.1,0.194988004,0.24414073,0.089361702,0.215994021,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.75,0.105509259,0.253372434,0.246777401,0.076595745,0.208520179,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.791666667,0.095046296,0.256891496,0.235286535,0.093617021,0.369207773,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.833333333,0.650555556,0.188589709,0.237451117,0.089361702,0.509715994,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.875,0.57525463,0.160117302,0.232690041,0.110638298,0.373692078,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.916666667,0.580856481,0.171847508,0.234402622,0.068085106,0.206278027,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.958333333,0.540763889,0.226392962,0.240148055,0.072340426,0.297458894,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
1,0.544490741,0.217008797,0.216503388,0.05106383,0.104633782,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.041666667,0.505625,0.168328446,0.21943135,0.119148936,0.713751868,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.083333333,0.355046296,0.182404692,0.222469799,0.123404255,0.564275037,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.125,0.139606481,0.164222874,0.216227166,0.119148936,0.489536622,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.166666667,0.080231481,0.231085044,0.205675457,0.09787234,0.389387145,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.208333333,0.064375,0.309677419,0.210315999,0.080851064,0.311659193,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.25,0.039930556,0.295014663,0.214901297,0.093617021,0.326606876,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.291666667,0.01625,0.271554252,0.226392163,0.068085106,0.177130045,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.333333333,0.891944444,0.258064516,0.235838981,0.165957447,1,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.375,0.692523148,0.237536657,0.23655716,0.114893617,0.338565022,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.416666667,0.614791667,0.218768328,0.231861373,0.085106383,0.257100149,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.458333333,0.579699074,0.252199413,0.243020772,0.09787234,0.401345291,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.5,0.545833333,0.255131965,0.252301856,0.080851064,0.171150972,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.541666667,0.550023148,0.247507332,0.227718032,0.093617021,0.19058296,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.583333333,0.504074074,0.251026393,0.227994255,0.068085106,0.130792227,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.625,0.341994949,0.287763263,0.230882038,0.10212766,0.444693572,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.666666667,0.171527778,0.314369502,0.249152917,0.10212766,0.501494768,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.708333333,0.116597222,0.317888563,0.273571008,0.131914894,0.331091181,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.75,0.101296296,0.346627566,0.275725545,0.063829787,0.200298954,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.791666667,0.092685185,0.346627566,0.258378757,0.106382979,0.475336323,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.833333333,0.570252525,0.301839509,0.261256495,0.123404255,0.242152466,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.875,0.633425926,0.255718475,0.263185032,0.114893617,0.664424514,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.916666667,0.580856481,0.224046921,0.261803919,0.106382979,0.550822123,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.958333333,0.580578704,0.255131965,0.257550088,0.068085106,0.397608371,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
