,hour,wave_height,water_temp,cluster
774,0.5833333333333334,0.4299120233266656,0.5685216558098181,4
775,0.625,0.5348973608293015,0.5503461995581458,4
776,0.6666666666666666,0.606451613280106,0.5434958750128156,4
777,0.7083333333333334,0.5835777129814846,0.5534298497505687,4
779,0.7916666666666666,0.5853372437736862,0.5576937243835279,4
796,0.5,0.2621700880380458,0.5810621687039077,1
801,0.7083333333333334,0.16891495605135834,0.5915586328348732,3
822,0.5833333333333334,0.25043988252209737,0.6094578667823979,1
823,0.625,0.24750733167096955,0.6097893340777225,3
824,0.6666666666666666,0.2545454548397761,0.61133618189786,3
825,0.7083333333333334,0.2228739005801464,0.6237662054725301,3
826,0.75,0.20586510268759295,0.6217221567094056,3
843,0.4583333333333333,0.20410557189539133,0.601778874661691,1
846,0.5833333333333334,0.15777126126868532,0.6519961699033578,1
847,0.625,0.14604105575273693,0.6452010903492051,3
848,0.6666666666666666,0.13724340179172867,0.6452010903492051,3
849,0.7083333333333334,0.1284457478307204,0.6562500004143343,3
850,0.75,0.11964809386971215,0.6555870658236853,3
851,0.7916666666666666,0.12316715545411548,0.6259759872203821,3
867,0.4583333333333333,0.09560117280835218,0.6295668831407093,1
872,0.6666666666666666,0.09794721433382923,0.7495580440481906,3
873,0.7083333333333334,0.08914956037282099,0.7434258990846867,3
874,0.75,0.09794721433382923,0.7051414264747031,3
892,0.5,0.07683284482740946,0.6138221866127942,1
894,0.5833333333333334,0.08387096799621603,0.6344284032511576,1
895,0.625,0.0926686219572243,0.6516094582797907,3
897,0.7083333333333334,0.08211143720401443,0.67188420762283,3
898,0.75,0.0639296185487225,0.6563604890708195,3
918,0.5833333333333334,0.0633431085192594,0.6108389809548733,1
921,0.7083333333333334,0.07272727250973074,0.6382402771473898,3
922,0.75,0.06568914934092415,0.6381850328191474,3
943,0.625,0.11202346067144243,0.6432675309055003,3
944,0.6666666666666666,0.14428152496053526,0.6607248089012157,3
964,0.5,0.06627566007419955,0.5987956690037703,1
965,0.5416666666666666,0.07038123168806598,0.5965858872559182,1
969,0.7083333333333334,0.0991202343927555,0.6653101060445819,3
970,0.75,0.11612903228530888,0.6681828230460174,3
988,0.5,0.058064516142654427,0.599955804537406,1
990,0.5833333333333334,0.08211143720401443,0.5980774900848786,1
991,0.625,0.07624633409413402,0.6292906601736272,3
992,0.6666666666666666,0.081524926470739,0.6948106953284652,3
993,0.7083333333333334,0.06702212764035713,0.6753495477092959,3
994,0.75,0.058064516142654427,0.6403948145669993,3
1018,0.75,0.08563049878841769,0.6697296702032205,3
1019,0.7916666666666666,0.0639296185487225,0.6574101359479703,3
1035,0.4583333333333333,0.03636363660677152,0.6353123158177116,1
1039,0.625,0.058064516142654427,0.6075795523298704,1
1040,0.6666666666666666,0.0633431085192594,0.6896729522509353,3
1041,0.7083333333333334,0.0633431085192594,0.6923246906135314,3
1064,0.6666666666666666,0.13548387099952702,0.6338759579799282,3
1065,0.7083333333333334,0.159530792060887,0.6807785802683499,3
1089,0.7083333333333334,0.07390029327246928,0.7095609899704071,3
1090,0.75,0.06686217010366269,0.6549793755612789,3
1138,0.75,0.15894428132761154,0.7077931648372993,3
1157,0.5416666666666666,0.06862170089586432,0.7149749560150194,1
1182,0.5833333333333334,0.0961876835416276,0.6965232767962652,1
1183,0.625,0.06979472165860287,0.7348629937344915,3
1184,0.6666666666666666,0.09560117280835218,0.7349734830539109,3
1186,0.75,0.07331378324300616,0.7263553333754731,3
1205,0.5416666666666666,0.07565982406467092,0.7835886861471979,1
1207,0.625,0.08680351884734391,0.7938641723022584,3
1209,0.7083333333333334,0.08387096799621603,0.7608279320892246,3
1232,0.6666666666666666,0.1771260999829035,0.7376252214165075,3
1278,0.5833333333333334,0.07741935485687257,0.6744807016571837,1
1302,0.5833333333333334,0.06158357772705773,0.6626031233537429,1
1303,0.625,0.05043988294438472,0.6764695054291308,3
1326,0.5833333333333334,0.07624633409413402,0.649289187212519,1
1328,0.6666666666666666,0.10146627591823257,0.6875184148313256,3
1329,0.7083333333333334,0.10439882676936044,0.7122127283330035,3
1350,0.5833333333333334,0.08739002958061934,0.6491786978930993,1
1351,0.625,0.09736070360055382,0.6834303186309459,3
1352,0.6666666666666666,0.1026392959771588,0.7009428402919693,3
1353,0.7083333333333334,0.10967741914596538,0.6550898648806984,3
1375,0.625,0.06686217010366269,0.6526038601657644,3
1544,0.6666666666666666,0.13431085023678846,0.2674388629986564,2
1545,0.7083333333333334,0.12199413469137692,0.2803660875163132,2
1555,0.75,0.054545454558251126,0.2389326756007464,2
1647,0.5833333333333334,0.07741935485687257,0.21390689480374392,2
1651,0.75,0.14428152496053526,0.3013037714500013,2
1695,0.5833333333333334,0.09853372436329236,0.25274381268495705,2
1697,0.6666666666666666,0.14310850419779672,0.2586549796725561,2
1698,0.7083333333333334,0.16832844602189526,0.2461144667784665,2
1699,0.75,0.20000000028152493,0.26688641706449223,2
1719,0.5833333333333334,0.28712343349844544,0.2953674938259778,2
1722,0.7083333333333334,0.4797653962415872,0.27346051864274035,4
1862,0.5416666666666666,0.6322580644298553,0.4183669710278042,4
1961,0.6666666666666666,0.19379974878446912,0.5290218033379559,3
1985,0.6666666666666666,0.1624633429120149,0.5222819681120454,3
1986,0.7083333333333334,0.1720821114773213,0.5248453154168666,3
2056,0.625,0.27390029355399426,0.5232763699980192,4
2060,0.7916666666666666,0.307214076318408,0.5124484385717292,4
2083,0.75,0.5038123165991348,0.5091337656184838,4
2084,0.7916666666666666,0.4465689150607787,0.5040954627295511,4
2102,0.6666666666666666,0.2938416422976755,0.5223924574314653,4
2159,0.7083333333333334,0.1777126100123666,0.628461991935316,3
2160,0.7916666666666666,0.15659824050594678,0.617192103894282,3
2173,0.7083333333333334,0.11554252225584576,0.7588391283172777,3
2216,0.75,0.30557184781362395,0.608850177182926,3
2260,0.5833333333333334,0.07331378324300616,0.6253130526297329,1
2263,0.7083333333333334,0.08973607040228412,0.6303955513790209,3
2264,0.75,0.11202346067144243,0.6432122865772578,3
2282,0.5,0.159530792060887,0.6436542431920022,1
2285,0.625,0.14956011733714022,0.6260864765398018,3
2287,0.7083333333333334,0.1700879768140969,0.6186284623949998,3
2305,0.4583333333333333,0.13958944261339346,0.5907852095877391,1
2307,0.5416666666666666,0.14956011733714022,0.6002320275044881,1
2309,0.625,0.1319648094151237,0.6056459928861657,3
2310,0.6666666666666666,0.12668621703851876,0.6123305837838338,3
2311,0.7083333333333334,0.14700079956527878,0.6218929127495265,3
2312,0.75,0.13548387099952702,0.6196228642809734,3
2330,0.5,0.1982404694893233,0.6487367412783551,1
2333,0.625,0.1917888563499798,0.6572444023003079,3
2335,0.7083333333333334,0.2029325511326528,0.6901149088656793,3
2336,0.75,0.18005865083403136,0.6587912494575108,3
2353,0.4583333333333333,0.1853372432106363,0.6687905126454894,1
2354,0.5,0.1853372432106363,0.6687905126454894,1
2381,0.625,0.16235670478882264,0.7323016557844142,3
2382,0.6666666666666666,0.16539589446695505,0.7295042726810563,3
2404,0.5833333333333334,0.15366568895100666,0.7144225107437899,1
2406,0.6666666666666666,0.20058651031098804,0.7248637305465127,3
2407,0.7083333333333334,0.19765395875604785,0.7449175019136471,3
2408,0.75,0.1736070383985002,0.7419895405839689,3
2452,0.5833333333333334,0.06920821092532745,0.6711660287039383,1
2454,0.6666666666666666,0.14076246337613196,0.6721051855987348,3
2455,0.7083333333333334,0.13020527862292205,0.7255819094654044,3
2474,0.5,0.07800586488633568,0.6534877727323185,1
2500,0.5833333333333334,0.04014929385106141,0.638586810957156,1
2504,0.75,0.06627566007419955,0.6384060107950522,3
2569,0.4583333333333333,0.11085043990870393,0.6372458752614163,1
2576,0.75,0.0785923756196111,0.6673541548077062,3
2577,0.7916666666666666,0.06568914934092415,0.6386822337621341,3
2595,0.5416666666666666,0.12023460389917527,0.6018341189899337,1
2596,0.5833333333333334,0.10909090911650228,0.6028285208759072,1
2597,0.625,0.13958944261339346,0.6081319976010999,3
2619,0.5416666666666666,0.09501466277888906,0.5881334712251425,1
2642,0.5,0.3812316718782949,0.5574727464076232,4
2644,0.5833333333333334,0.4404692080798755,0.562886711789301,4
2649,0.7916666666666666,0.5225806452838899,0.5637354689345127,4
2862,0.6666666666666666,0.0785923756196111,0.10209192695995628,2
2913,0.7916666666666666,0.14310850419779672,0.14766868006707967,2
3123,0.5416666666666666,0.09736070360055382,0.2590416912961233,2
3176,0.75,0.09736070360055382,0.3253903946892727,2
3199,0.7083333333333334,0.0674486801331258,0.2890947258512362,2
3201,0.7916666666666666,0.07390029327246928,0.26230111992112604,2
3220,0.5833333333333334,0.08035190641181275,0.28290733655948963,2
3344,0.75,0.2527859240475745,0.3596972597553616,2
3578,0.625,0.10967741914596538,0.5284141130755495,1
3647,0.5,0.4533724343585626,0.548025928490874,4
3651,0.6666666666666666,0.3806451611450194,0.6270256334345983,4
3652,0.7083333333333334,0.322580645002365,0.6052592812625988,4
3677,0.75,0.14369501493107212,0.6500626104596534,3
3696,0.5416666666666666,0.10439882676936044,0.5562021215545676,1
3698,0.625,0.100293255155494,0.5423909844703572,1
3699,0.6666666666666666,0.09901359626956333,0.5494522422066745,3
3700,0.7083333333333334,0.09261530254372204,0.649012964245437,3
3724,0.7083333333333334,0.15366568895100666,0.619015174018567,3
3741,0.4166666666666667,0.03343108505183134,0.5604559520655439,1
3742,0.4583333333333333,0.0498533722111093,0.543661608660478,1
3767,0.5,0.0281524926752264,0.5327784329059457,1
3768,0.5416666666666666,0.029325513437964933,0.5448217441941139,1
3842,0.6666666666666666,0.0639296185487225,0.5473629939002251,3
3912,0.5833333333333334,0.21407624661913813,0.6279647909923292,1
3915,0.7083333333333334,0.2052785926581299,0.6168606365989573,3
4028,0.4166666666666667,0.08035190641181275,0.6107284916354536,1
4076,0.6666666666666666,0.14956011733714022,0.6622716560584185,3
4077,0.7083333333333334,0.16598240449641816,0.6537639956994004,3
4100,0.6666666666666666,0.21759530820354145,0.6578520918997799,3
4168,0.5,0.17536656919070184,0.6114466705543451,1
4172,0.6666666666666666,0.1771260999829035,0.5820565705898813,3
4173,0.7083333333333334,0.1929618771127184,0.587842181743619,3
4174,0.75,0.1771260999829035,0.5984642017084456,3
